"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","WAGEGAP","EMPLOYEE","PC","A","2020",8.6906141367,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2018",11.665004985,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2019",11.419037351,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2020",11.716807546,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2021",12.230702613807,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2019",13.869849949,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2020",11.014467821,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2021",11.700371359,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2022",13.808194646,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2018",8.6216072379,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2020",8.0937131267,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2021",8.0937131267,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2018",7.1428571429,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2019",7.5757575758,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2020",7.4183976261,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2021",7.2463768116,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2018",15.095647352,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2020",13.802546899,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2018",9.980806142,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2018",16.310424203,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2019",16.099809282,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2020",11.983805668,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2021",14.169356078,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2022",14.480234261,
"USA","WAGEGAP","EMPLOYEE","PC","A","2018",18.910585817,
"USA","WAGEGAP","EMPLOYEE","PC","A","2019",18.470705065,
"USA","WAGEGAP","EMPLOYEE","PC","A","2020",17.652495379,
"USA","WAGEGAP","EMPLOYEE","PC","A","2021",16.864175023,
"USA","WAGEGAP","EMPLOYEE","PC","A","2022",16.98440208,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2018",3.0303030303,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2019",3.3577967679,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2020",2.5546878995,
"BGR","WAGEGAP","EMPLOYEE","PC","A","2021",2.45410963574016,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2020",8.5964583333,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2021",10.918891755,
"COL","WAGEGAP","EMPLOYEE","PC","A","2018",10.628862538,
"COL","WAGEGAP","EMPLOYEE","PC","A","2019",9.3855889861,
"COL","WAGEGAP","EMPLOYEE","PC","A","2020",2.9639540816,
"COL","WAGEGAP","EMPLOYEE","PC","A","2021",3.3405065793,
"COL","WAGEGAP","EMPLOYEE","PC","A","2022",1.8587360595,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2018",8.4507042254,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2019",6.529209622,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2020",3.0303030303,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2021",5.2036199095,
"CRI","WAGEGAP","EMPLOYEE","PC","A","2022",1.4492753623,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2018",7.9150579151,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2019",7.5748522944,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2020",7.37724745193739,
"HRV","WAGEGAP","EMPLOYEE","PC","A","2021",7.31137917111652,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2018",15.871047737,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2019",16.841770255,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2020",16.582113452,
"CYP","WAGEGAP","EMPLOYEE","PC","A","2021",16.2471212610505,
"EST","WAGEGAP","EMPLOYEE","PC","A","2018",22.68115942,
"EST","WAGEGAP","EMPLOYEE","PC","A","2019",23.172045323,
"EST","WAGEGAP","EMPLOYEE","PC","A","2020",19.601682014,
"EST","WAGEGAP","EMPLOYEE","PC","A","2021",20.429620558,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2018",22.659192432,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2019",24.318869828,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2020",21.558333333,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2021",25.357513813,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2018",20.289855072,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2019",19.759401058,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2020",22.709678284,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2021",23.95269832,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2018",11.689814815,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2019",14.07101369,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2020",9.3279890493,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2021",9.0209257793,
"MLT","WAGEGAP","EMPLOYEE","PC","A","2018",11.09375,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2018",3.4965034965,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2019",5.8553973107,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2020",3.3041813915,
"ROU","WAGEGAP","EMPLOYEE","PC","A","2021",5.7554987369,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2018",8.1945369753,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2018",13.0262775921267,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2019",12.9528765001532,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2020",11.6420981217679,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2021",11.8962757543496,
"EU27","WAGEGAP","EMPLOYEE","PC","A","2018",10.8027859019692,
"EU27","WAGEGAP","EMPLOYEE","PC","A","2019",11.0565484333855,
"EU27","WAGEGAP","EMPLOYEE","PC","A","2020",10.2388204387099,
"EU27","WAGEGAP","EMPLOYEE","PC","A","2021",10.3684731909253,
"ARG","WAGEGAP","EMPLOYEE","PC","A","2018",11.111111111,
"ARG","WAGEGAP","EMPLOYEE","PC","A","2019",12,
"ARG","WAGEGAP","EMPLOYEE","PC","A","2020",6.25,
"ARG","WAGEGAP","EMPLOYEE","PC","A","2021",6.25,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2018",10.666666667,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2019",6.6666666667,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2020",6.25,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2021",9.0909090909,
"BRA","WAGEGAP","EMPLOYEE","PC","A","2022",11.111111111,
